,text,score,user,time
0,五一“社会面清零”后又反弹，看来是技术面清零。。。,0,SHANMIN_M,Wed May 04 08:07:52 +0800 2022
1,那个野生的1+62是最麻烦的,-3.0,蒸水一客,Wed May 04 08:02:00 +0800 2022
2,人无法搬走？不是方舱医院关掉了好几个嘛？这是要干嘛？昨天好像社会面也没有清零！,-1,freshwaterlake,Wed May 04 08:16:43 +0800 2022
3,对上海的数据保持警惕,1,无悔的兔,Wed May 04 08:05:36 +0800 2022
4,上海需要组织重建！,1,明日会更好10O086,Wed May 04 08:19:08 +0800 2022
5,好多外省返回人员，一到目的地就边阳了，数据要警惕,0,无厘头8210,Wed May 04 08:10:58 +0800 2022
6,把躺平派清除后即可清零,1,老白兔子6100,Wed May 04 08:07:32 +0800 2022
7,很多上海人肯定会说：我都按规定的做了。它要出羊，我也没办法。而不是对照规定找落实不到位的地方，仔细分折感染的原因，有无以前没有掌握的传播途径。,0,鸿毛划雪泥,Wed May 04 08:17:04 +0800 2022
8,上海要防止一些类似黄丝的带路党，故意隐藏阳性，故意投毒，防止复阳，还有很长的路要走，希望五月底能彻底把社会我面清了,4.5,深山猎人鱼,Wed May 04 10:06:09 +0800 2022
9,上海的政策永远是迷幻的，前一段时间同住密接都不拉走隔离，照样和楼栋其他居民一起下楼做核酸，直接在家隔离，刚政策改了阳的楼上楼下和左右邻居拉出去隔离，也不是整栋楼出去，整个环境消毒都不知道有没有做！所以到现在我们小区都封了一个半月天天有阳,1,kevin-lsw,Wed May 04 09:20:42 +0800 2022
10,想确定一下：数据是真实的吗？,4,shiguangmanbu,Wed May 04 08:59:38 +0800 2022
11,封了这么久，每天还有这么多新增，说明根本没隔离开，即使在封控区也一直没阻断传播链，所以一边封控，一边传染，两不耽误。,3.0,再给次机会吧,Wed May 04 08:59:59 +0800 2022
12,魔都吗，总要搞的不一样的，要不也不会这么魔幻了！！！,-2,毛豆他哥们_继续挺小米,Wed May 04 08:23:26 +0800 2022
