,text,score,user,time
0,宝山，呵呵了，小区阳性，至少四五天才转运,1,爱天地雨,Sun Apr 24 08:23:04 +0800 2022
1,三区清零清了个寂寞,0,你以为你以为的就是你以为的hhhh,Sun Apr 24 08:26:47 +0800 2022
2,昨天我们没做核酸，大家做了吗？,0,绿色协奏曲_DSH,Sun Apr 24 08:53:03 +0800 2022
3,下降趋势未变，但是数据波动的比较魔幻。闵行降到一千以内了,-1,小迟同学正学习,Sun Apr 24 08:28:36 +0800 2022
4,上海的12345够了吗,0,舒马西,Sun Apr 24 08:27:00 +0800 2022
5,现在国家卡脖子期，劝企业家去做公益，而不是让企业家搞科研，明显是带路党，一不小心企业家就被这帮预谋家带坑里了。记得中兴通讯被制裁时，俞敏洪就在演说时痛批中兴不守美国规则，后来视频网上看不到了。,0,寒天鹭,Sun Apr 24 21:08:59 +0800 2022
6,用固有经验去看奥秘可溶是错误的，难道没人想一想，上海所有人呆在家里不出门，没有流动，理论上14天潜伏期之后新增就会大幅减少，怎么还会那么多感染？吉林2个月了，怎么还无法做到0新增？,-8.0,Z先生有强迫症,Sun Apr 24 15:22:30 +0800 2022
7,累计有50万了吧,0,悟空把兄弟,Sun Apr 24 11:45:08 +0800 2022
8,社会新增280吗 昨天218？,0,萍萍酱油,Sun Apr 24 08:48:06 +0800 2022
9,解封是不可能了，没有一个区社会面清0了,-1,四处打酱油的小肥丁,Sun Apr 24 08:45:27 +0800 2022
10,貌似又吼不住了,-1,股市-世相观察,Sun Apr 24 08:41:59 +0800 2022
11,所以，看了玩，不足信,-2,自飘零199811,Sun Apr 24 08:37:33 +0800 2022
12,确诊病例又下跌了,-1,胡景0422,Sun Apr 24 08:23:42 +0800 2022
13,吗的 政府能有点作为吗？,1,Neoma的小月芽,Sun Apr 24 10:00:07 +0800 2022
14,对！//@大道有形:重症方仓是救人的，不是害人的。//@我见我思99:80+强行进方舱的恶果？,-2,marpho,Sun Apr 24 09:37:59 +0800 2022
15,谜一样的数据,0,YICHEN0O0,Sun Apr 24 08:23:17 +0800 2022
16,他们这样做数据，什么时候能彻底解除隔离…在很多小区快要接近解封条件时突然来几个阳的…,3.0,夫夫的七七,Sun Apr 24 12:20:16 +0800 2022
17,宝山在去库存,0,Ac-Jimmy,Sun Apr 24 08:25:49 +0800 2022
