,text,score,user,time
0,核酸采样后，也请立即戴好口罩，尽快返回家中，继续保持足不出户哦。,0,Aimee是女神,Wed Apr 06 07:56:28 +0800 2022
1,今早发现健康云上面查不到非本人的核酸报告了，请小布帮我们询问下，改版后老人或幼儿、非本人的核酸报告去哪里查！！！急,-1,兔子妈咪爱吃肉,Wed Apr 06 08:46:35 +0800 2022
2,上海加油 拐点快来了~,0,柠檬不洗脸,Wed Apr 06 07:55:23 +0800 2022
3,如果近两日的大幅新增反映的是全域核酸检测的结果，那么拐点应该快了。但核酸检测的数据可能还未尽出，因为浦西的新增较少，而浦西的总人数大约是浦江以东的2倍。,8.0,尘落奔,Wed Apr 06 08:19:06 +0800 2022
4,上海加油啊！早点好起来,1,9527k_sir,Wed Apr 06 07:56:11 +0800 2022
5,有全国力量一起来守“沪”！相信很快就能好转起来加油上海,2,Bryant曼巴魂,Wed Apr 06 08:00:24 +0800 2022
6,希望拐点到来,1,南無法帝的微笑,Wed Apr 06 08:05:16 +0800 2022
7,啊这………上海赶紧挺过去吧,0,肥肥陶_,Wed Apr 06 07:55:53 +0800 2022
8,四面八方的援助已经涌向上海，上海人民真心感谢兄弟姐妹省市的援助谢谢谢谢,4,进击的熊头,Wed Apr 06 08:01:46 +0800 2022
9,好起来吧,1,防弹少年团问你在乱说什么,Wed Apr 06 07:57:08 +0800 2022
10,希望早日迎来拐点，上海人民也早日恢复正常生活！,2,皇甫俊伟Edi,Wed Apr 06 07:59:08 +0800 2022
11,上海加油，键盘侠闭嘴,0,章鱼羊羊子,Wed Apr 06 08:05:18 +0800 2022
12,今晚还有小区进行阳台唱歌的，这传染风险太大了，快派片警提前制止吧。,-1,如果一切都只是如果而已呢,Wed Apr 06 08:05:46 +0800 2022
13,上海啊上海,0,ggwengww,Wed Apr 06 08:15:40 +0800 2022
14,快了，大家一起加油，统一筛查过后阳性的大部分都被筛查出来了！感谢全国各地的同胞们的支持！上海加油！！,5,莱莱莱yxkk,Wed Apr 06 08:14:57 +0800 2022
15,这几天是集中高峰！再过两天就是下降趋势！相信国家的实力。,3,会飞的兔子1123,Wed Apr 06 08:02:24 +0800 2022
16,不知说啥好,-1,杂杂婆,Wed Apr 06 07:58:52 +0800 2022
17,加油，共同守沪！！！,0,美汁源果粒橙sunshineboy,Wed Apr 06 08:28:30 +0800 2022
18,311+16766,0,维维宝贝0501,Wed Apr 06 08:02:30 +0800 2022
19,加油加油 今天数据肯定会比较多 后面会越来越好的 加油,10.0,好好小姐和嘤嘤怪,Wed Apr 06 07:57:38 +0800 2022
20,有信心,1,杜加伊_,Wed Apr 06 08:04:06 +0800 2022
21,服从中央指挥，共克时艰，上海加油！,1,采铜_,Wed Apr 06 07:56:11 +0800 2022
22,一定会好起来的，有个过程，需要时间！,4,Oakliketree,Wed Apr 06 08:34:22 +0800 2022
23,上海加油 拐点快到了,0,尘埃2091,Wed Apr 06 08:34:17 +0800 2022
24,辛苦啦,-1,阳光的桔子皮,Wed Apr 06 08:30:09 +0800 2022
