,text,score,user,time
0,加油，再封两个月差不多了,0,开创下一个科技时代,Wed May 04 09:16:53 +0800 2022
1,浪费所有人的生命,-1,七七_7whynot,Wed May 04 09:50:03 +0800 2022
2,现在上海累积多少人？是不是已经足够建立群体免疫体系了？如果放开会不会还会再次陷入大量感染的困境？下一步该如何解决？,-1,Kidultop,Wed May 04 08:58:31 +0800 2022
3,核酸暴利不止，疫情就不会结束。快解封了？那就再来一管阳,0,念念在心-,Wed May 04 12:31:41 +0800 2022
4,哈哈我们小区三十天没阳性，被关了三十天。今天要发出门证了，混检管阳了一管，哈哈哈我不活啦,1,叫我阿璃吧,Wed May 04 10:57:59 +0800 2022
5,一定可以人定胜天！,1,十一只绵羊,Wed May 04 18:08:36 +0800 2022
6,请问一下现有死亡病例只统计了医院的感染者吗？集中隔离点和养老院的有统计进去？,0,欣猪,Wed May 04 10:34:24 +0800 2022
7,。,0,海贼王23704,Wed May 04 09:34:50 +0800 2022
8,坚持反人类的隔离，违反自然规则，会胜利的,1,anfare,Wed May 04 09:52:23 +0800 2022
9,庙堂诸公，还能回想起自己的理想吗？！是现在这样子吗,4.0,温暖向前FF,Wed May 04 09:01:28 +0800 2022
10,恭喜,1,方汤圆China,Wed May 04 09:42:20 +0800 2022
11,趋势向好，下半年解封有望了！,3,寡人后宫三千基佬,Wed May 04 08:51:36 +0800 2022
