,text,score,user,time
0,今天全员核酸，可能有下雨，大白们辛苦了、注意安全,0,乐乐original,Tue Apr 26 07:50:14 +0800 2022
1,数字下来了！,0,三硝基甲苯xh,Tue Apr 26 07:49:35 +0800 2022
2,希望一天比一天少，尽快清零，上海加油！,1,卡福先生,Tue Apr 26 07:55:07 +0800 2022
3,上海加油！,0,可乐de爆米花,Tue Apr 26 07:48:40 +0800 2022
4,上海早日好起来医护人员辛苦了,0,Bryant曼巴魂,Tue Apr 26 07:52:26 +0800 2022
5,坚持动态清零不动摇,0,水门桥之星,Tue Apr 26 07:53:23 +0800 2022
6,期待数字一天比一天少,1,飞翔在天边的一朵云,Tue Apr 26 07:58:57 +0800 2022
7,越来越少了，是不是快解封啦,1,凯MrsL,Tue Apr 26 08:00:40 +0800 2022
8,希望数字越来越少,1,薄荷MO,Tue Apr 26 07:51:26 +0800 2022
9,在缓慢下降中，希望早日回归正常生活吧,1,薄荷糖色5,Tue Apr 26 07:49:13 +0800 2022
10,判断不是死于新冠依据是什么？,0,李医生永不忘,Tue Apr 26 07:51:47 +0800 2022
11,下降了！期待早日清零～,0,TsummerT,Tue Apr 26 08:05:25 +0800 2022
12,雨天的全员核酸，希望明天有好消息！,1,东朝南极,Tue Apr 26 12:00:36 +0800 2022
13,下来了，一线工作人员辛苦了,-1,懒猪24825,Tue Apr 26 08:02:48 +0800 2022
14,33岁的那例重症终究没能挺过去,-1,阳光普照完美天空,Tue Apr 26 07:57:41 +0800 2022
15,又下降了，加油，愿早日迎来解封！,1,童念WilliamTung,Tue Apr 26 07:50:13 +0800 2022
16,降了些,0,胖胖葱头,Tue Apr 26 08:26:18 +0800 2022
17,死亡的原因均为基础病，因为基础病死亡，你加在新冠疫情通报里干嘛？,1,怒放的生命811,Tue Apr 26 07:53:59 +0800 2022
18,少了,0,刘小强同学想做个读书人,Tue Apr 26 07:49:54 +0800 2022
19,每次搜应收尽收的实时都会不断刷新底线,0,小新小新眉,Tue Apr 26 08:24:33 +0800 2022
20,希望上海安好，疫情病例大幅下降，天气凉爽，逐渐好转,2,不辜负生活且还保有爱人的冲动jy,Tue Apr 26 08:20:08 +0800 2022
21,希望尽快清零！等待那一天到来！上海加油,1,随便取名字能用就行,Tue Apr 26 08:07:35 +0800 2022
22,4月25日，上海新增本土新冠确诊病例1661例，无症状感染者15319例，合计16980例。新增本土死亡52例。平均年龄83.1岁，最小年龄33岁，最大年龄100岁。开始公布死亡者最小年龄了，这是一个进步！希望上海疫情尽快迎来拐点…,2,0451天马,Tue Apr 26 07:59:51 +0800 2022
23,挤牙膏了,0,换个昵称真的很困难,Tue Apr 26 07:55:42 +0800 2022
24,加油，愿平安,2,名字有点难取喔,Tue Apr 26 07:49:56 +0800 2022
25,早点清零，早点解封,0,桃子是个小鲜肉,Tue Apr 26 08:15:26 +0800 2022
26,#上海疫情# 上海感染人数继续呈下降趋势，但是死亡病例又略有增加。死亡病例中最年轻的33岁,-2,呼小卷,Tue Apr 26 08:13:19 +0800 2022
27,这两天重症多起来了，保护好自己吧,4.0,受气包的倔强,Tue Apr 26 08:10:40 +0800 2022
28,上海加油！,0,甜甜的小糯米x,Tue Apr 26 08:03:48 +0800 2022
29,新增死亡病例多少，看到最后一句。令人唏嘘,-1,六岁一年级,Tue Apr 26 07:50:08 +0800 2022
30,下雨了下降了，不测就是没有,-2,苯密年魔赞,Tue Apr 26 08:58:23 +0800 2022
31,唉…,0,济南胜强装卸的官微,Tue Apr 26 08:38:58 +0800 2022
32,全市核酸，很多隔离在家的同学的小区都已经做了核酸，我在校的也是全校核酸没取消叭,0,starry-aka-jensen,Tue Apr 26 08:25:10 +0800 2022
33,这数据也不能做它本来的样子了,-1,qihai123,Tue Apr 26 08:20:52 +0800 2022
34,吼吼吼,0,小冯今天也要快乐啊,Tue Apr 26 08:19:19 +0800 2022
35,封了这么久，还有这么多,0,庆山上的一颗梧桐,Tue Apr 26 08:17:03 +0800 2022
36,回复@porcius 的表态:,0,江苏陈锡军,Tue Apr 26 08:14:03 +0800 2022
37,死亡人数为啥非要基础疾病,-1,veilove201611,Tue Apr 26 08:12:03 +0800 2022
38,降了降了，真的越来越好了,2.0,梅花与我共白头,Tue Apr 26 08:11:54 +0800 2022
39,,0,克制才能变强,Tue Apr 26 08:11:12 +0800 2022
40,数字少了点，似乎看见希望了,0,__是糖炒栗子呀,Tue Apr 26 08:09:42 +0800 2022
41,加油,0,每天早睡选手,Tue Apr 26 08:09:01 +0800 2022
42,能否后续将死亡病例中是否完全接种疫苗的情况也统计发布一下？,1,aaaarachel,Tue Apr 26 08:08:33 +0800 2022
43,又食言了，今天不测！,0,1961之孺子牛,Tue Apr 26 08:02:49 +0800 2022
44,上海加油,0,尘埃2091,Tue Apr 26 08:00:33 +0800 2022
45,上海加油中国加油,0,江苏陈锡军,Tue Apr 26 07:55:56 +0800 2022
46,最小死亡33岁，这得是多大号的流感？,0,理客张三,Tue Apr 26 07:55:38 +0800 2022
47,先降死亡人数,-1,正在断奶的饭团,Tue Apr 26 07:54:45 +0800 2022
48,终于降了,0,不要辜负你自己,Tue Apr 26 07:53:19 +0800 2022
49,上海社会面新增18例确诊病例（总数 - 无症状归转 - 隔离管控），199例无症状（总数 - 隔离管控）,-2,一个姓杨的人0204,Tue Apr 26 07:52:28 +0800 2022
50,死亡病历有点惊人,-1.5,尧尧素咬咬-不素晓晓扰扰啊-蛋碎,Tue Apr 26 07:51:45 +0800 2022
51,央视新闻忘开精选然后秒开,1,明天要吃烤冷面,Tue Apr 26 07:50:52 +0800 2022
52,非管控区的越来越少了,-1,海边的芒草,Tue Apr 26 07:50:32 +0800 2022
53,数量缓慢下降,-2,见仁键字,Tue Apr 26 07:49:50 +0800 2022
54,降了加油,0,依旧是减肥的一天,Tue Apr 26 07:48:59 +0800 2022
55,【上海新增1661例本土确诊和15319例本土无症状】,1,连云港市连云区法院,Tue Apr 26 08:49:34 +0800 2022
56,?只要不想让他们因为疫情死亡，他们就不会因为疫情死亡是吧，搬起石头砸自己的脚,-2,小狐狸的小和尚GX,Tue Apr 26 08:19:20 +0800 2022
57,只要在外地变成阳性就不算上海的，只要能偷偷摸摸扔到外地的也不算上海的，牛 #上海新增本土确诊1661例无症状15319例#,1,张云_Yun,Tue Apr 26 08:03:13 +0800 2022
58,下暴雨没测吧,-2,文明9912,Tue Apr 26 08:14:51 +0800 2022
59,死年轻人就着重说有基础疾病，反正和新冠没关系,-2,十二都老方520,Tue Apr 26 08:04:15 +0800 2022
60,愿生活早日恢复如常,1,Junky9,Tue Apr 26 07:52:48 +0800 2022
61,社会面18+199=217,0,萧月月-,Tue Apr 26 08:14:25 +0800 2022
62,相关风险人群排查，他们是什么人？,1,落袋为安66,Tue Apr 26 08:13:44 +0800 2022
63,张教授的专家救治组尽力了,1,好运大大锦鲤,Tue Apr 26 07:56:54 +0800 2022
64,根据官方公布的0.75%死亡率，会死多少人…到底哪个是假的啊,0,Wang23-6,Tue Apr 26 07:53:34 +0800 2022
65,看看五一后能解封吗？,0,虎年大吉大利发大财,Tue Apr 26 07:53:10 +0800 2022
66,昨日上海新増本土确诊1661例和本土无症状15319例。#上海战疫# #上海加油#,2,神奇夏夜霜,Tue Apr 26 07:50:02 +0800 2022
67,最小年龄33岁这下有的躺平派是真的要躺平了,1,草莓可口不可爱,Tue Apr 26 07:49:46 +0800 2022
68,希望一天比一天少，尽快清零，上海加油！,1,漫步亭升路,Tue Apr 26 07:49:04 +0800 2022
