,text,score,user,time
0,这样搞下去一年防疫成本是多少？有多少因次生灾害死亡或返贫？到底是利大于弊还是弊大于利应该也要有个数据统计分析。,2.0,山水之间xzt,Thu May 05 08:32:42 +0800 2022
1,上海这次抗疫的特点总结起来就是西方化严重！不说抗疫成绩不好，居然民生问题到现在都不能很好的解决！,1.0,第三梯度,Thu May 05 08:37:25 +0800 2022
2,我可以爆料吗 哈哈哈   我这儿居委胡乱定义密接 次密接 导致真话密接混乱 该隔离的不隔离  不该隔离的被拉去隔离 转运途中暴露风险极大。这™不是瞎搞吗 ,-9,小海门的憨人,Thu May 05 08:29:24 +0800 2022
3,上海这种明显异于其它城市的确诊标准和风险标准啥时候能统一了，啥时候疫情才有可能真正控制住，否则迟早还得吃大亏,7,柠檬趣话,Thu May 05 08:28:11 +0800 2022
4,老师，为什么上海一直声称死者死于基础病呢？,-1,淮忧子,Thu May 05 08:25:03 +0800 2022
5,我注意到，已经连续几天了，上海发布的确诊病例数，总是有一例是不在管控区内发现的。真巧，好几天了都是这样，不多不少，只多一例,3,天蝎金牛爱双鱼,Thu May 05 08:31:19 +0800 2022
6,上海解封之日，就是下一波疫情开始之时，对其控制疫情的能力及数据基本不信，由现象看本质，大灾面前的利己主义最终坑了全国各地。,1,欢乐谷的兔子,Thu May 05 08:52:35 +0800 2022
7,我觉得它们不是想躺平，是想捣乱。,2,风云飞扬,Thu May 05 08:34:24 +0800 2022
8,话撂这儿，就上海这防疫水平，下一波更糟，到处是筛子，防不住的。下个变种攻击中国的首选目标非沪莫属。,-1,戊辰已,Thu May 05 08:42:48 +0800 2022
9,我已经在学校封了两个多月了，本来对这个城市充满希望，分数够了毕业就能落户。呵呵现在毕业赶紧回江苏吧，魔都太魔幻了。,2,csn小易子,Thu May 05 08:36:13 +0800 2022
10,魔都某些人就想着两条路：要么全封崩掉上海经济并带崩全国经济，要么不封直接崩全国，精准防控？按中央的要求来，按其他成功城市来？那不行，中国经济怎么崩？中国怎么乱？,0,leejr20201212,Thu May 05 09:03:26 +0800 2022
11,很可能是第二轮阳奉阴违篡改数据全国投毒的开始。,2.0,朝闻道夕灭敌口,Thu May 05 08:37:15 +0800 2022
12,如果没有外省的支援，估计死亡肯定不是这个数,-1,guzqian,Thu May 05 08:35:03 +0800 2022
13,科学防疫，放开不等于躺平，全世界就剩大陆和朝鲜这样过度防疫了,-2.0,赖弘国小粉粉,Thu May 05 13:14:32 +0800 2022
14,上海报出来的数字没什么实际意义,0,毓森,Thu May 05 08:35:09 +0800 2022
15,信网红，得永生，某地已500多人得永生了…,1,明楊博,Thu May 05 09:26:52 +0800 2022
16,上个月初从上海订购的东西现在都没发货，从广东买的东西基本都是三天到货。不知喜欢斤斤计较的上海人疫情过后，会不会骂死那帮主张躺平的？,-3,啥也不是_30343,Thu May 05 09:04:04 +0800 2022
17,浦东四天浦西四天，回头一看有点磨幻,0,纳豆尔,Thu May 05 08:45:38 +0800 2022
18,哪怕封城情况下，GDP降低10%，也比不封城情况下，GDP降低4%强。,-3,怀念崇高,Thu May 05 13:42:03 +0800 2022
19,张网红对疫情的危害远远大于贡献,1,投资在途,Thu May 05 13:19:41 +0800 2022
20,怕损失一步步妥协，最后损失大到自己不敢承受了，然后劝全国人民一起妥协，这样就显不出自己了。,-4,轩辕欣翔,Thu May 05 11:31:13 +0800 2022
21,到现在还没对全国道歉,-2.0,总觉得一般,Thu May 05 10:38:35 +0800 2022
22,曾经大家心目中的魔都，高不可攀打破头往里挤的形象，真怕被这次疫情改写了,-1,Penny是朵太阳花,Thu May 05 08:56:32 +0800 2022
23,还有34例不在封控中发现,1,Ningmemgfengmi,Thu May 05 08:46:39 +0800 2022
24,显卡和主板不兼容，要换显卡,1,恨行天下_503,Thu May 05 08:33:06 +0800 2022
25,躺平的很多，补贴政策要跟上啊,2,feidao273,Thu May 05 15:02:45 +0800 2022
26,形同虚设的正攵广付,0,涨跌知多少,Thu May 05 08:25:51 +0800 2022
27,同在上海，看不到之前一点点的正常执行力，内部被腐蚀了//@第三梯度:上海这次抗疫的特点总结起来就是西方化严重！不说抗疫成绩不好，居然民生问题到现在都不能很好的解决！,0.0,我不是什么模子,Thu May 05 14:52:16 +0800 2022
28,上海的表现，有点象俄罗斯在乌克兰的表现，拉胯,0,小蛙观天,Thu May 05 13:59:21 +0800 2022
29,累计死亡500多了，看看还有谁想躺平？,2.0,沫沫20130121,Thu May 05 13:16:21 +0800 2022
30,你说方舱出来的，都是阴性的么？,-1,子笙Alterac,Thu May 05 12:46:02 +0800 2022
31,孙副总理,0,amtfwfcb,Thu May 05 10:30:09 +0800 2022
32,继续加油，胜利在望,0,往后余生棒棒哒,Thu May 05 09:57:11 +0800 2022
33,十月一再看吧,-1,不漏油,Thu May 05 09:51:18 +0800 2022
34,快结束啦,1,武666888,Thu May 05 09:15:27 +0800 2022
35,感谢吴大妈,1,路遇大铁板,Thu May 05 09:14:38 +0800 2022
36,曙光已现，坚持不懈，感谢所有战斗在一线的医护人员和志愿者，也感谢自觉遵守防疫规定在家隔离的我们每一个人！一起努力开创美好未来！,5,清咖好苦,Thu May 05 08:59:37 +0800 2022
37,拿起石头砸的身边人的脚，自己身心未必疼,0,越兵千甲,Thu May 05 08:37:45 +0800 2022
38,4月pmi下降幅度很大,-1,偎招猫,Thu May 05 08:34:37 +0800 2022
39,这波逐渐平息,1,girldoe,Thu May 05 08:24:16 +0800 2022
40,上海加油！,0,18点18分18秒,Thu May 05 08:23:38 +0800 2022
41,，,0,梦想的花儿mm,Sun May 08 11:39:50 +0800 2022
42,,0,索益顺,Sun May 08 11:34:57 +0800 2022
43,早点结束恢复正常吧,0,活在当下MY赢在未来1,Sun May 08 09:05:22 +0800 2022
44,期望尽快复工投产！,1,沈城市民2199,Sun May 08 08:26:49 +0800 2022
45,好,1,大道至简72,Sun May 08 07:05:24 +0800 2022
46,,0,小宫的老公,Sun May 08 03:03:17 +0800 2022
47,,0,开心jon,Sat May 07 22:02:46 +0800 2022
48,赶紧过去吧，真的是够了,1,易YI2020,Sat May 07 12:27:33 +0800 2022
49,这样下去该怎么办？,0,第二垌村,Thu May 05 16:04:35 +0800 2022
50,唉,0,景七到达雪山,Thu May 05 14:13:56 +0800 2022
51,躺平派啥都知道，人家只是执行美国爹的指令而已。,1,页飘他乡,Thu May 05 08:38:04 +0800 2022
52,这个无症状感染者还不是上海自己说了算？确诊者还无症状感染者这个比例全国绝无仅有。,-2.0,做人当如陈道明,Thu May 05 08:33:13 +0800 2022
53,上海的躺平派就是投降派,0,nnxnxgnxfhs,Thu May 05 09:05:56 +0800 2022
54,我们这刚放两天，防范区好几个出问题了，不能急啊！,-1,关山口技工,Thu May 05 08:44:05 +0800 2022
55,这不是成本问题！,-2,龙灵辉芝文,Sun May 08 06:56:50 +0800 2022
56,上海有内奸。互联网有记忆的，2020年初，中央在钟南山，李兰娟等专家的建议下，采取正确的防疫政策。这个时候，上海就推出张网红，试图在舆论上掌控，说什么武汉就是病毒的源头，与美猪蓬佩奥造谣中国遥相呼应。另外，上海资本复星药业迅速与西方资本辉瑞联合开发新冠疫苗，试图抢占中国市场。,2,LZLGQ123456789,Thu May 05 21:20:04 +0800 2022
57,加油,0,夜书灯,Thu May 05 09:32:22 +0800 2022
58,新,1,红楼忆梦z,Sun May 08 11:11:56 +0800 2022
59,,0,辣手林夕,Sun May 08 05:21:47 +0800 2022
60,曙光,0,关注你的他,Sat May 07 21:23:36 +0800 2022
61,3月15日就封闭全上海，还有可能清零,1,雅诗兰宣xuan,Thu May 05 16:40:09 +0800 2022
62,上海就是一将无能累死千军,-1,拉姆loomoon,Thu May 05 12:28:37 +0800 2022
63,这两天，网红又出来了，可能是打算摘桃了,2,号被封了是什么体验,Thu May 05 11:16:59 +0800 2022
64,应该去掉无症状这种误导人的做法。无症状就是轻症，说明还是感染了嘛！爱丁堡格外一条筋,-2,wlmlds,Thu May 05 09:33:11 +0800 2022
